Слово;Частота;Частота (в %)
0vUOnYHhwzqL8qTr6XwXOras80xlLhn8vDHlWcvphKRyjLt1xRTzLI3dLBfM;1;0.00954654%
0xv;1;0.00954654%
0y2hixPGoVs77Va8S63rUalpdMgiUSxsQ93k4EinwXFU;1;0.00954654%
0y4ZZMda2fCGvTalqVlFbwAxxxfpAreAq74xi065t5rW;1;0.00954654%
0y8sRJ2fvEEkPPjPLzKRnHj1r5t;1;0.00954654%
0yU5iQuHMf8hvL0NCsxx;1;0.00954654%
0yx5;1;0.00954654%
10;1;0.00954654%
11;1;0.00954654%
11nkgYXDDHKwQ4ONtzVRSXAmXa3EEZ70qL5AmpkV9AFx26ZI2GaoGtzLdxRNv1zy746fvqU4CM5jUcowFY;1;0.00954654%
11p3vcLkEDpTWnX2pW1ybXBfHTNYajS49Q7nFNr1R06Lqeq0afgzcU96Ta;1;0.00954654%
11tf4ejuJ15LuFjDcr5OtMe1S5gg4Iv0mHM1wohiXxZ2O1Vlup4Z9pLRDuafra8y;1;0.00954654%
11xy4;1;0.00954654%
12;1;0.00954654%
123;1;0.00954654%
13;1;0.00954654%
13Ch7p2YnZapED3E4QbljWyl5dD0hRFKOZ0IxnqSK0MWqM;1;0.00954654%
13id;1;0.00954654%
14;1;0.00954654%
15;1;0.00954654%
16;1;0.00954654%
17ORmCO6rHIdifA5;1;0.00954654%
18;1;0.00954654%
18s04oiRORSMfGq8swuiYiT6U;1;0.00954654%
19;1;0.00954654%
1950;1;0.00954654%
1972;1;0.00954654%
1974;1;0.00954654%
1975;1;0.00954654%
1988;1;0.00954654%
1995;1;0.00954654%
1998;1;0.00954654%
1DS7QeZlwb1vF9j5Ul7wYwCemPSqUrcZ;1;0.00954654%
1EM9PPrWbvuEIZnePTbi;1;0.00954654%
1HSnFXJP5o79GnGDv1KuWVVjzKEVfVkX7utNR39sWKq8IBP6zR1RyahPju3zHHnGPxzTUeqXkbNy3yrzHJ7nWvUgjbJIu7i7gjYn3i2JPghQ5;1;0.00954654%
1HV8OLR4;1;0.00954654%
1LGOJOvLGDsP2n1JrI3;1;0.00954654%
1MTgE;1;0.00954654%
1MqgSoMuMsPUDA2rWMjCSEW6Ml0mDuSdvPOKm39rMCzOECyLzoFfORk7HwB3FGgRTC5jJBbszv1OAfu6077yxjENwDIRlVJ8mwfv3qmzOis1hjDbyRW7IUJwP4wUNkZ;1;0.00954654%
1PhQX4083wjHvBi7Tk5JUf7ORnPLjr41yv2Xfk0aRwjxXZ8RatxFLrUtjIJrWBbQQRiQfZZu8xbB3A23A;1;0.00954654%
1RgTy436jp0PrlvpR3Doje7yG67EgKitITjYkjk29D1q5tWsmnXsgYrqFGJiViUABwAGPXw8ahwOZra35mDTHmaQDplsMPh5fKo1gskV3PyJzyAKAeXJHeHTHqKl7oaQxqnaDUDIhRUI7wVSC2WPj47AePjTcBhjeWJ;1;0.00954654%
1ScitPouoqkHIR3hWOkukEqsVwCas4JgbiMRuMMN8edEo2CZqmvXlbIJIp03bAZIqFBAyAENnbwpF3c7dlgZO2cVn2odgubozTZjB2oXEYNsXcZbPjT1lAqxGR9yaF2yC3I2Bo;1;0.00954654%
1UWFxIDDgbkio2mwCRmMq;1;0.00954654%
1UwIQUh2yKzFlGZLyJN92FbR4EdM4FxYaVGhAUyb5NS;1;0.00954654%
1VDtEaeaWd15eZz4YwKttORSk;1;0.00954654%
1VHuzFa3B5oJeUfqsSBmlfnHVbeLsJZJFXGwckHHzqK93NOeVhzIDnHmaGxpDaAySMygIW6AmkdqzERBisee960q4aYtydVHXloEDtFVWGw6ikUvmW2mXQs5eVF54jsQPAU1rt7bTtA8UIDo;1;0.00954654%
1VdmCxJR7qveh5NP5tIW;1;0.00954654%
1WDHh3un3UxILcIwNtDnzD9PurVWYSoo5Jid;1;0.00954654%
1WSpzafbAkfZHj6185ocEHr5xaTSuvuj9O9oOoaiPs9p5xk1KVW1s3t5sotBktpdWjhvle3HN3sqSPqK3vEt02pTWPC2hSo8bgNM4bCsfAE;1;0.00954654%
1Y2vKZTGe75Cs6tj4RO0K3tdPsPfLvDXEhzg9av4733iBWQYHlVZpGl9q7e;1;0.00954654%
1YSrKZVxuuOQ;1;0.00954654%
1Zm2DOgx9n1qNq1np8FpyJbRCVj4QgEDkx5edaeeZLpu0UlZTykjw2FZ;1;0.00954654%
1a;1;0.00954654%
1aCzsrm71d;1;0.00954654%
1bV5biYiF2VPjW0cbmZd3ZwXHGutpdr7vEcgbVkT50h5Cz7kmnYo2lkRADliBXVGKiqRk3ZpuANNNzde8yJ3Qdq6Jns8KBhR0qv4Zsls9MjUDvEb1ZSoGX1riyz7pHRCNKxeRy83hUPU2HYrg9TRtOsSFZSBjxNQ0kN3Oqr9lahLzHKV7Fpbg9gm36tOb0SjAwPChkdM71NmiDoeFCh8qQCZDhaEZJXNQ7sTPIFjb76MJdqNm;1;0.00954654%
1c;1;0.00954654%
1c1nF9s6Z0zSnjtHKeHOJdBvreOCPUo42AAMch5W;1;0.00954654%
1f2Ck6HchJtEAzyt086Lsgn2EdW8DmkK0e47Pxo;1;0.00954654%
1f66ivd9QX;1;0.00954654%
1fA09OUnJMLMCzMSCfOk3uBjNY0y2t2VLdmLKO;1;0.00954654%
1fTX925QcPE3Ooz44OdulNaRxpHBdXrX6ZlupBmePu8o8dsUvh3hJtZs9T1i8nNnGrlBDBscnz9PCnuFeGeG7vh1ry;1;0.00954654%
1gZ;1;0.00954654%
1hSfZnxIB46ZP8AzDXnzVZT1NO;1;0.00954654%
1iS3sYO3OwHeB65qz0QG;1;0.00954654%
1jr4VmK96E45IqUeGebKLi2mGKMUmjFUS0KNJo80VAgZoE0KI9aBgoUKFACKFJFCkWKoUQo6YAoUKFAAoZoUKABnFbT2Occt7OuOYOKE0tdTMMEsXu7T9jnnXGeblbp8KxbdaANTkxxyxcJcMuMnFqS5PUv8Ayvrj;1;0.00954654%
1k;1;0.00954654%
1kIqPoWo6XPdqlxPEI87tnpX10fyz8hyfmMuZijCJo;1;0.00954654%
1kauS16U;1;0.00954654%
1kdB9M5qJJaOl6CsAZVPOxPNl1IHdOTg46jA8fhVpmbQtbVnu0nMKyKe8QcnA5SAMVXWMbchdkIHMc;1;0.00954654%
1m8MnyrNdn2rdpK3KTuABU;1;0.00954654%
1m907ltYxeW3MseGAdVC7ehx4;1;0.00954654%
1mgIIebUkPh;1;0.00954654%
1n;1;0.00954654%
1oQTRpFKeyywXByfHIH7ahlIqbm5Wz1Rbhog3Lk4Ax1BAq6DRrpqGPHLKivKGJOASCQd;1;0.00954654%
1ohq4W5xGpX1z44;1;0.00954654%
1olaZKdOjHY95y2XbOwpZl7aftJTzySHf0WorzNfyrHEUghHeZquHsrZIeS2nEiKoMkmc16Z88X;1;0.00954654%
1pjhr3QwzpPcCOR5lEaqwBwBnJHiN;1;0.00954654%
1qq1i2CcsqcxUp4ncHG9JUMclvJuzcxvylSRgUqCS8ltlM07BWYKWIGMEUHQdnICgzgkknwwaeCg2sMaAyhOrADYnbekIh3F7eRB0WeQyKvTO;1;0.00954654%
1qy957YeJFciTTNJ28lkH;1;0.00954654%
1s;1;0.00954654%
1sD4GsB7c;1;0.00954654%
1tTTsUlTGHOGos0UhwxogaTGlsL8cUtHZUZQcc3Wms75pQ6UCaHGkcxhM92m2JLHPWiLZpJOTQxpEvTsmRxnHcPhmtlpXC7ajokmp3c;1;0.00954654%
1u;1;0.00954654%
1vRbP;1;0.00954654%
1vsYOEJL6ZyLi0lSS3Zd8Pnah7K7W4m0ifiK;1;0.00954654%
1vtMmvLiEs2Dy56VUpKKtgtyj4UuNfm1FLbSr;1;0.00954654%
1xqKajq2osnvE0aFY40TPKiA7ndiSTjO2wxXL;1;0.00954654%
1y0sYdG7N0WMoMoy7EN4EU1wzxpcTRC3vrGS6KbC4iIDN8VO2fXI;1;0.00954654%
1y258iIxg42l;1;0.00954654%
20;1;0.00954654%
2002;1;0.00954654%
20c3AxGf8A96i;1;0.00954654%
22RWE9nVi0Vu13LFkP0yK1t1Azwt7ud8bD1q8mODaVLYUZzW9lzc6rqM9gFfVL1kkXDKbhyCD1B36VRDXLrSLC9t9OlkhlujGHmjkKsqoxOAR55Hyz50nQp5Lt2gmUhoz0p65s4WndGUbjFZeFBLtcVRXizvuT3JuicR6osVwt3qN5dJc2zQkS3LsFz44J;1;0.00954654%
22qfa2sEk8rqA5jQlskY9cmot2Ei5rmfukgFYuXooGBk4wDj7zS8wopxpUgWQIqAocnkGcDy2286ft4BMkccuAXUhAu55f1j8gD92;1;0.00954654%
23;1;0.00954654%
23WdNteO9Rvby5TmgjS1iVd3wgyR;1;0.00954654%
23jk5;1;0.00954654%
23pV3sSuR23C2sgBMkjAcoXrk7DH0qHrBC6YeYoGJ233;1;0.00954654%
24;1;0.00954654%
25;1;0.00954654%
25Y;1;0.00954654%
26;1;0.00954654%
27;1;0.00954654%
27QjrPBcNu2xF6jj5JIP20;1;0.00954654%
2B8Ucf8ACEHE2l6xotrbTSyRLHctKHBRuU;1;0.00954654%
2EBgsfOaKLfLmrManojkIOGYyAf8A79L;1;0.00954654%
2FClY6LC0vvcZxKq5I8KlRR6vr9;1;0.00954654%
2HQYrDiXUXtYxHGJQ;1;0.00954654%
2INa2FrbHmUg8oYdHXyrlrjxHhV4;1;0.00954654%
2J6X8cvoeJ;1;0.00954654%
2KE3EupB0ke;1;0.00954654%
2KtnI8GiI2r0J;1;0.00954654%
2M7UWm28XKzvcPM0qgsWcnmYDcnPp;1;0.00954654%
2PWl3JynONsEUxDM8Z7Fh5qfwqkbqKvS5YAEeVVVzAI;1;0.00954654%
2PcWWWLSRlHk9D;1;0.00954654%
2Q;1;0.00954654%
2QR;1;0.00954654%
2R0p;1;0.00954654%
2R8KVJAO8OX9rpy8rB1c9SRVpLrFkZzM036MjcY;1;0.00954654%
2SflSLh87bjzpeYDRNECTRL3jtS8GnyN7B9n071WOh2C3d72bsQgUk1AHNttVjoTzJqUIQHc974eNUkrM5N0X82l6db2zM8KtgdWqljsY20;1;0.00954654%
2T4Zq8uL22srUvJIAqLkms5YXd1q2hruVIGd9ulQuMbpZNOttNhJa5umCkeQ8azce6W5SlS2Lh9T;1;0.00954654%
2TSo59O5z2ti7gfqvM;1;0.00954654%
2UGcZq7tOFBOkkMWtBLgEgBoe6;1;0.00954654%
2X;1;0.00954654%
2XRvZfqWnWGp6NqF899A0yNbMgChW5cHmIrH;1;0.00954654%
2XcHy2t8NZv4TFHGP71jYYLN;1;0.00954654%
2Xiy74H9murcU2NrBdXFiIikU5PI3PKiHOCD0YmuO;1;0.00954654%
2Xzb8kWntGvUudcS3jYFLWIRnB25jufxA;1;0.00954654%
2YfuqGkaRkx6DSEZ8drId;1;0.00954654%
2aadk0VeqW5ukiZFLSuneGdw2cH5dKUEkmsLJliXBlYMQOu4P8Ab51YukY1BzIWMYYdAcjJGds;1;0.00954654%
2bheJQfdNUbP8WNP9;1;0.00954654%
2dEYDarcSG5nVmjH2ypIO;1;0.00954654%
2eOSZnUyY5eYgnHNgAZ642rp93qmpi3gMOqXgSEgKBcN3dsDG;1;0.00954654%
2ew;1;0.00954654%
2fRf;1;0.00954654%
2g1bSWvrxE;1;0.00954654%
2hadpuocMMSR2sbB4Jge8jeYNPXY4Y1O0jW60u1uZCo;1;0.00954654%
2icb9MbdAan3ls3NBaiVRGFEm4GwXHKPQn9lQLieIyLDDzwwuez2IYlepJx45A29BUXZRHmlhNr2TB8jYHcnm5evpuc1DWZBexSMw5I0A6dSVxk;1;0.00954654%
2itmIJeXbc1B0m5lsrkQyHETnBz4VKuryT3aJSA7kYJHgelP3GmPeaeJFIRlGwJxU;1;0.00954654%
2j;1;0.00954654%
2j8K5Dc3eqJqEj8ZR3kd;1;0.00954654%
2jkleNkbmZOuMAHI326;1;0.00954654%
2kcYADie;1;0.00954654%
2lnlkmG4dnJYfPrVdd6rqFmLi;1;0.00954654%
2m7qMJddoULhRg5Bw2Bv91UFDPDNvctZxRA;1;0.00954654%
2mKk;1;0.00954654%
2n3uP;1;0.00954654%
2n9NjZkRyrYc7;1;0.00954654%
2oITMYX9D8ez6;1;0.00954654%
2oO2PImn48W6B6aaVnE9S0U2NuLiZt23xVWvKWPJzfCrTWNVe;1;0.00954654%
2oOr2XaTQmB1wYySD4AEftNMETk1bR4Js29xdBAdgYQP209ccR2M7BXnuGhHVOzxn76zUunXKSYPISfI0f5tus4;1;0.00954654%
2pCT3IkzywHfOBKBn61zSxJnVHImbRL6ReYPaOUYea5;1;0.00954654%
2pTwk25KqOVnH1AIotVSM2Ub78pBA3GcDG;1;0.00954654%
2psujXO;1;0.00954654%
2qsU9svDS4K2GrDHT9FH;1;0.00954654%
2qsVEK;1;0.00954654%
2rjJX1xUbiK5tL;1;0.00954654%
2sETtZXvB1mffJ;1;0.00954654%
2sXtLY7Em8W5zpFCKFUYAo6R20Xg4NLUg9CDVGBM0VebWbIb;1;0.00954654%
2tzYyydkJo;1;0.00954654%
2u;1;0.00954654%
2vHB3rH2vFWi2bwXnbtdLyiN0ywfAJ8Pn1FRtc9pIla5GlWc0SzIiDt5OflK5IYeIOT51Pak9hKMn5Go4p4X4O1a0N9pa;1;0.00954654%
2wBDAAUDBAQEAwUEBAQFBQUGBwwIBwcHBw8LCwkMEQ8SEhEPERETFhwXExQaFRERGCEYGh0dHx8fExciJCIeJBweHx7;1;0.00954654%
2wBDAQUFBQcGBw4ICA4eFBEUHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh7;1;0.00954654%
2y2;1;0.00954654%
2zQ4ux;1;0.00954654%
30NUUae61zQvcifzrbyThSFIwxbvDqfPFZ6bWtNzzNejljXICA8xwB09dsU2;1;0.00954654%
30qKopJOI9RjlDxxLFICGVmTmIPhsdj8xU654X1I2nvV;1;0.00954654%
30qXoMcDvcWSxcs3N1zyZAxkbeO3r1p2a1kt5reOOVwzRAsHAIzv5Yppbh3OiY8P6ezk5kA7UE746jH35q0lkiuYw6hI3C4K8oHeByOnxqrEkywKk9qsg7QNmNsHofA49D1PShPfW0QTtQ8UhUZEgKZbJx12xjFJqxJkfWVkkcswJVOmR4Z2qz4ajt4dKiukDichiW3xzDIA2;1;0.00954654%
31;1;0.00954654%
31ZaatvHtcosqSOVKkbA9dx4;1;0.00954654%
32;1;0.00954654%
32QKEDtjyLUj3klcMTmtO4ycWWQnQHZYj8GzTiXIbGY;1;0.00954654%
33VvXNWIv7NZZryWRANowXOcbeOPPrU8AQqZWKySAnm5z1I8B8ifpVDwxeyS3vKue0jjKsv8ZQN8;1;0.00954654%
35;1;0.00954654%
371F;1;0.00954654%
37ENlB;1;0.00954654%
37qO50vToLh4jAr4B2Xqv9sGtnFBBbwW8UdtyyRxogcj7WBv1;1;0.00954654%
39isvT8mTKtJBxfbvbT2;1;0.00954654%
39l3sijhlAk;1;0.00954654%
3AqfNC126SBSysQR5gEkn5;1;0.00954654%
3CX2lyJPGcrIq9K1fs54hF;1;0.00954654%
3EXZRnIIx1qp0mGYXMscj46kA1fW6FUDPuardZiaF;1;0.00954654%
3JFp;1;0.00954654%
3Jdz;1;0.00954654%
3P0n2y0maXStJFRdxjT24dLkzVqCs;1;0.00954654%
3PI0jfFiSfxooYZpiRFEz464FXmg8ONdsr3TGOPIyo64rr;1;0.00954654%
3PPUT9U;1;0.00954654%
3Qsk;1;0.00954654%
3S6sfD36f;1;0.00954654%
3SX2X8LXehR8LR6sLi9a77Zr8wcuUROXHZtn7Gc58aovbt7VH9qeraZqEmhLpBsLd4Qi3Zn5;1;0.00954654%
3SqLiBGVckAHHL4bVC5KZY29j2;1;0.00954654%
3Ttlp1dSulACadbr68y;1;0.00954654%
3YsFOKOa4vb63DStyRHofCrLQ9EgSDtQAzeZ8TVJKEdwbcnsTE1CLPNKpXyzUyG67YYhYfKoF4oii78OQOm29UmpXU0SLLasFxvylqlRUg7mjRXKOJ1ZzjNP3UYMXd6jesU;1;0.00954654%
3aKfm3x9uR;1;0.00954654%
3anDH05yg;1;0.00954654%
3bfga4DGMRgAYxvXc76doNOupB0WF2;1;0.00954654%
3cbhqt3EYJHu1sfXekkQ4BNrAR6Mf3VtFM55NFM1y;1;0.00954654%
3d1S4fG9sgcURM7sYyUfzFZvQlnstSeWSMlGOHXHUeYrQ69qVokzc7lN;1;0.00954654%
3ir3h29L6ejIC3KZICQQCMb;1;0.00954654%
3j4a;1;0.00954654%
3jVVaJNM93F2wAUhB0p24lkK5VMrjeo0ASS3CKo5l8fOplqzLFysBjp1rJ7F8mJku59D11pVyIpj3hn761lw;1;0.00954654%
3jzFZrXZWm1JxJ0Gw;1;0.00954654%
3lGIPhs1RqdO8Wlle7abb;1;0.00954654%
3lUrTdV0OOzWObVrTkIDAcwPL8B4Z2zTfAqHLTSpLiztJo;1;0.00954654%
3lufD8KlcNwNZaO1x2i9ndBiVY;1;0.00954654%
3m0juvZxdzOBz2s0U0Z8iXCH7mNcR4FtElvTPJgKp2JrXHkbhbMM;1;0.00954654%
3ny8c10TzuUuy;1;0.00954654%
3qJAEJzleXqPLOaTnsNY9xvs45b24IiUlmZTsSRglBy;1;0.00954654%
3r2vSe1U6MZOH00f82dtjlvDP2nacn;1;0.00954654%
3rWd4kjcByftMDk4H9utXjyLFdNyxEd7YE9B1Px2qDrdv7ySVU9pzuvKD0AO2PiKmOzBlvp8MFnp6Ja3LykwKuGPXK;1;0.00954654%
3smdk7e4Ybl9zms;1;0.00954654%
3tAxkK;1;0.00954654%
3tg09CJXXmY7eZpu1uSoeNlJwB0qVMxSx5;1;0.00954654%
3xN3UH7az1jxXJolgLDU7J0liHKhxsal8PaZJqs41u;1;0.00954654%
40Eu1021uM6lc9phWhjwrczd4b8y;1;0.00954654%
40kb;1;0.00954654%
411C;1;0.00954654%
41qtb4cZNAsZYziRbaPm;1;0.00954654%
43;1;0.00954654%
43Ibxhf;1;0.00954654%
47wIbJGdwB6Datl6mUuaRn2l5nznGPKiaRMdDnxyaIQkHvMuMZPKM0trbEfP9lcZ360tx;1;0.00954654%
481cs4HfjyF7ol37narbrGJMMSW5wM5;1;0.00954654%
4AAQSkZJRgABAQEBLAEsAAD;1;0.00954654%
4Coh5c7mtFBp0Uer28K4PKQT6VL0u6s9K0gqmGnOwxvvR6Jot5d3Bv52K85yAaxlPktI2JvbW3jVOcMQPCoU2qyF8QxEZ6GnrbTIUGZMualNBEqdxAuPSuT3Ube8yqubOe4i7WZyufrUzSeS3j5CCM;1;0.00954654%
4D0;1;0.00954654%
4GOMf8z3H8w186a8T2b;1;0.00954654%
4HMdwGlmdlAnC4DAA4TzPj36JSaTKjG2Q5YVT3i6kLZklZUGCwI5iCT4eH3iqyIRmSO6mEcsMhPaKBjlzn6HJzWgiitb;1;0.00954654%
4Hrzx;1;0.00954654%
4Ls;1;0.00954654%
4N05rLThcvGeaU53FaZM3MZxjOOlWdvFElpGixfo;1;0.00954654%
4NTsBYe6895BILiMSqUDbIdgTkDyP0qTcaKIJZI5dRtQY4RMxAfGCVAH2c5PN4Zo;1;0.00954654%
4R1w3mhXk76bMv8tMeTDy;1;0.00954654%
4SuOpFU2pX8Gl6tJIJFMUu;1;0.00954654%
4UYltQm9nbsf5bEj6GikFyEnSPFQ2;1;0.00954654%
4UhZWxjp8BTqPtuT9ayZvFEiNDjPKfpToQ9eUfhTCPkDI;1;0.00954654%
4UiCWUwzLHyg9m2Co64AJP0zVlbRqguEPXld;1;0.00954654%
4UzBFbGJg0ALqWGeTY7nH7KO1BY7LxVZy;1;0.00954654%
4V1K5trm7sey7SW3LGNu0iSQY5gD0cDp1zWdrvhOM4qUeGc8ouLpgJJoV1L2RexLiP2l8O3Gt6PqukWcFvdtasl20gYsEVsjlQjGHFbL;1;0.00954654%
4V2QPOyIp4oHmlWNGTLHAycCn5NGvAN5Lb;1;0.00954654%
4VCTWrCNmZrmN1dWDJHKFO;1;0.00954654%
4VhKTcti4rYzWo2Vxp909tdx9nIp33yD6gimMgDarniac3EUbyDMibZNUINaxna3HQ5mhkUkYx40RxVWKhzbGxpHMc7UW;1;0.00954654%
4XOcAUxp455XkIpLbcHuVOlSssMsLjcZH31b6cCluM;1;0.00954654%
4duLP8rX;1;0.00954654%
4eONFDFDlf9o79cnGf3VViopr3TdRtPe9QtraJYTgS2;1;0.00954654%
4haXa;1;0.00954654%
4kX;1;0.00954654%
4lu1twQFlYlU9B5VIHZ2kJmd2aRhgMy7Z8h6VXQ3BUPCnO;1;0.00954654%
4mv7q2YPC8gCMOhAUDP3VZ3r289nG6TxEmNducZG1fP8AR8sFqcjvl;1;0.00954654%
4pBx4ECuryflb8LC154;1;0.00954654%
4ptgSfCgZf7ZpvnrRIycg3Ujxps5NKkam;1;0.00954654%
4tORlXXkcZI9aryDzDZlaM8pB2qKZeZezG5zSLsMjnsGyfLyqLpchN1J24w4Ow86pLYVlwO4gB60a;1;0.00954654%
4u;1;0.00954654%
4vXLLbIORP8aq7i3UZNeZYrZWEYOF;1;0.00954654%
527BQ;1;0.00954654%
52h;1;0.00954654%
52y;1;0.00954654%
55AHFHE6ghuI9ayNt7;1;0.00954654%
55OoyvLkcmaT2ZH;1;0.00954654%
55Y5h0x4;1;0.00954654%
56DbHQU7NpkFnYvcXk63F;1;0.00954654%
57ttvRv3Vn2uuCXjyX8L;1;0.00954654%
5A3PT12;1;0.00954654%
5APSmn1C6e;1;0.00954654%
5E;1;0.00954654%
5G221TpQZSEXl2CruNwMZ;1;0.00954654%
5GSe2sLdJ4pYyGSEBuXO4BHhW;1;0.00954654%
5I12ICY;1;0.00954654%
5JplIiRUhI;1;0.00954654%
5LJzx5qQ;1;0.00954654%
5LTslPeda5;1;0.00954654%
5NERe1M5d75NpOga5w;1;0.00954654%
5PU7jyqvk0ixVmj92CFkyvP12bHnscYqru7axRgqohbBB5R4jcfX9lHI7RaT6zpyKDaTESp3o;1;0.00954654%
5PyXKxlg0ZzjOGAyM56eVDTrL32G5dLqCD3eEzP2gb7A6nug9Mj61I1XVoLa84gsbWCRZrm7lWaSSQN3RIThQAMAnPXO1NcFRPfXGq2odU7TTJV5nOFXLx7n0G5qvGzLBKcnXFPbjaxeFjeRRj8yNpujT3OmXWryyxx2tu2Od;1;0.00954654%
5Sfsb4g9p;1;0.00954654%
5T;1;0.00954654%
5TwwSW37;1;0.00954654%
5V0XlPbKBynvFc;1;0.00954654%
5V9jTxMnqR1urq6uffLq5mnbAGZZC5A8snwpnU9UuLUmGC7nhhmXEipIVVh5EA7;1;0.00954654%
5X1x;1;0.00954654%
5Xtz;1;0.00954654%
5ams8sMUqHu4lJ5Q3UE469OldKm1KTVbOSa4uraO3iwvJagqZjjcFic4HpjO9clLOMrnvZyMedXsMUcemJcxXTqAOZgDsPTFCImr3H;1;0.00954654%
5cUrT;1;0.00954654%
5eV5ZWHZqSByDO2fM7Zx6n51s;1;0.00954654%
5ea0Zh2o8SB4Vd3msXF3cCaVhyRZCht;1;0.00954654%
5jUTX93I8MnOheZiVPmN9j61Pe8urns5Z7qeV1GVZ5CxX4ZO1YvTrz9OVJ72wb41pbRiYVzRLDCPCQRySfLLG5vLu5QLc3c8yg5AkkLAfU09;1;0.00954654%
5jUe1DituOOPNU4qewGntfujG3E3ahOWNU;1;0.00954654%
5leOoJHibmQlSPKr3TJ2vTyyN3l8KHpoFfi8h6dvvbT7PdSUHUOHb68AGALizgkx9XNUUHtW9j9xeyRLwApdP1jo9p;1;0.00954654%
5mtv6MVftJ;1;0.00954654%
5mtv6MVn7Sflw;1;0.00954654%
5qEinIgQmRIESHRYWK4B7o3;1;0.00954654%
5rPpmrr8qX2f;1;0.00954654%
5rhDWOIJeOEnXTLGa77L82cvaGNCwTPanGSMZwetdS9uvt3m9mPGNvw;1;0.00954654%
5ue7lliWRd;1;0.00954654%
5uyW99zbwse7IPND4j06iuZ6BxrqWlxiGCeOSMDAV99qLXdfg1m1xc2EUUobmE0GzA;1;0.00954654%
5wf;1;0.00954654%
5zWS1rX9ZtooBFxAbsOTnk5QVIAwTjPXP41n3GqxNnRBNBOkUUvOOSMBgzZ5gxGTn4K31pjU3tpkkEt5HGzsCGZvsr6ff865g;1;0.00954654%
6;1;0.00954654%
61W8u5MghFG;1;0.00954654%
61yF5R8Mgk;1;0.00954654%
620n8w1439iGoTwmWCTn7DlyNtq9m3idtZzxcuTJEygeeQRXnfT9I06w0tRbW;1;0.00954654%
63UrEKsR7PlYdQyn7JHiD40K5RqHEGq32oPqElyyTuQWaMcucDbp1oUUjbsn6k2P8A9YanxURC7y4HdJHjT;1;0.00954654%
64;1;0.00954654%
645sU5cW0MoJZRn0qJFaqSVRuVh0zV7NC3H4ZMEKxwR51KY9N6qIzIJ2jlOGzsamRTuqgMCceNDQJjiyKkrKdzUTUZG5gIu6Sd;1;0.00954654%
